cw odd olp8;ccw odd olp8;odd olp8
"""(""""BR' R BR' U Rw BR' Rw U R' U Rw"""", ' {L,D} (CIF)', 13.5, 11)""";"""(""""BR' R BR' U Rw BR' Rw U R' U Rw"""", ' {L,D} (CIF)', 13.5, 11)""";"""(""""BR' R BR' U Rw BR' Rw U R' U Rw"""", ' {L,D} (CIF)', 13.5, 11)"""
"""(""""R' L R U L' B Rw B' Rw' L B'"""", ' {U,BR} (CIF)', 13.5, 11)""";"""(""""R' L R U L' B Rw B' Rw' L B'"""", ' {U,BR} (CIF)', 13.5, 11)""";"""(""""R' L R U L' B Rw B' Rw' L B'"""", ' {U,BR} (CIF)', 13.5, 11)"""
"""(""""Rw D' Rw' D' R D BR D' BR' R' D BR"""", ' {BR,D} (EIF)', 14.0, 12)""";"""(""""Rw D' Rw' D' R D BR D' BR' R' D BR"""", ' {BR,D} (EIF)', 14.0, 12)""";"""(""""Rw D' Rw' D' R D BR D' BR' R' D BR"""", ' {BR,D} (EIF)', 14.0, 12)"""
"""(""""L' Rw D' L' D L Rw' L R B' R' B"""", ' {U,F} (CIF)', 14.0, 12)""";"""(""""L' Rw D' L' D L Rw' L R B' R' B"""", ' {U,F} (CIF)', 14.0, 12)""";"""(""""L' Rw D' L' D L Rw' L R B' R' B"""", ' {U,F} (CIF)', 14.0, 12)"""
"""(""""U Rw B' U' Rw BR Rw' B BR' Rw'"""", ' {R,D} (CIF)', 14.0, 10)""";"""(""""U Rw B' U' Rw BR Rw' B BR' Rw'"""", ' {R,D} (CIF)', 14.0, 10)""";"""(""""U Rw B' U' Rw BR Rw' B BR' Rw'"""", ' {R,D} (CIF)', 14.0, 10)"""
"""(""""B' BR R' D' R D BR' B L R' L' R"""", ' {U,BR} (CIF)', 14.0, 12)""";"""(""""B' BR R' D' R D BR' B L R' L' R"""", ' {U,BR} (CIF)', 14.0, 12)""";"""(""""B' BR R' D' R D BR' B L R' L' R"""", ' {U,BR} (CIF)', 14.0, 12)"""
"""(""""B' R' U L R' L' R U' B R"""", ' {F,BR} (CIF)', 9.0, 10)""";"""(""""B' R' U L R' L' R U' B R"""", ' {F,BR} (CIF)', 9.0, 10)""";"""(""""B' R' U L R' L' R U' B R"""", ' {F,BR} (CIF)', 9.0, 10)"""
"""(""""L' B' U R B' R' B U' L B"""", ' {F,BL} (CIF)', 12, 10)""";"""(""""L' B' U R B' R' B U' L B"""", ' {F,BL} (CIF)', 12, 10)""";"""(""""L' B' U R B' R' B U' L B"""", ' {F,BL} (CIF)', 12, 10)"""
"""(""""Rw BR' Rw' B' U BR' R' U R U' BR"""", ' {L,D} (CIF)', 12.0, 11)""";"""(""""Rw BR' Rw' B' U BR' R' U R U' BR"""", ' {L,D} (CIF)', 12.0, 11)""";"""(""""Rw BR' Rw' B' U BR' R' U R U' BR"""", ' {L,D} (CIF)', 12.0, 11)"""
"""(""""B' R' U D L R' L' R U' D' B R"""", ' {F,BR} (CIF)', 12.0, 12)""";"""(""""B' R' U D L R' L' R U' D' B R"""", ' {F,BR} (CIF)', 12.0, 12)""";"""(""""B' R' U D L R' L' R U' D' B R"""", ' {F,BR} (CIF)', 12.0, 12)"""
"""(""""B' R' U D' L R' L' R U' D B R"""", ' {F,BR} (CIF)', 12.0, 12)""";"""(""""B' R' U D' L R' L' R U' D B R"""", ' {F,BR} (CIF)', 12.0, 12)""";"""(""""B' R' U D' L R' L' R U' D B R"""", ' {F,BR} (CIF)', 12.0, 12)"""
"""(""""Rw R U Rw U' R' U Rw' R' U' Rw' R"""", ' {L,F} (EIF)', 12.25, 12)""";"""(""""Rw R U Rw U' R' U Rw' R' U' Rw' R"""", ' {L,F} (EIF)', 12.25, 12)""";"""(""""Rw R U Rw U' R' U Rw' R' U' Rw' R"""", ' {L,F} (EIF)', 12.25, 12)"""
"""(""""L' B R U R B' R' B U' B' R' L"""", ' {BR,BL} (CIF)', 13.0, 12)""";"""(""""L' B R U R B' R' B U' B' R' L"""", ' {BR,BL} (CIF)', 13.0, 12)""";"""(""""L' B R U R B' R' B U' B' R' L"""", ' {BR,BL} (CIF)', 13.0, 12)"""
"""(""""Rw' U Rw U R' U' BR' U BR R U' BR'"""", ' {R,D} (CIF)', 13.0, 12)""";"""(""""Rw' U Rw U R' U' BR' U BR R U' BR'"""", ' {R,D} (CIF)', 13.0, 12)""";"""(""""Rw' U Rw U R' U' BR' U BR R U' BR'"""", ' {R,D} (CIF)', 13.0, 12)"""
"""(""""BR Rw' B' U B U' Rw B Rw' U' Rw"""", ' {B,D} (CIF)', 13.0, 11)""";"""(""""BR Rw' B' U B U' Rw B Rw' U' Rw"""", ' {B,D} (CIF)', 13.0, 11)""";"""(""""BR Rw' B' U B U' Rw B Rw' U' Rw"""", ' {B,D} (CIF)', 13.0, 11)"""
"""(""""BR R' D' BR Rw D' Rw BR R Rw' D' Rw'"""", ' {BL,D} (EIF)', 13.25, 12)""";"""(""""BR R' D' BR Rw D' Rw BR R Rw' D' Rw'"""", ' {BL,D} (EIF)', 13.25, 12)""";"""(""""BR R' D' BR Rw D' Rw BR R Rw' D' Rw'"""", ' {BL,D} (EIF)', 13.25, 12)"""
"""(""""U R' BR' U Rw BR' Rw U R Rw' BR' Rw'"""", ' {L,D} (CIF)', 13.25, 12)""";"""(""""U R' BR' U Rw BR' Rw U R Rw' BR' Rw'"""", ' {L,D} (CIF)', 13.25, 12)""";"""(""""U R' BR' U Rw BR' Rw U R Rw' BR' Rw'"""", ' {L,D} (CIF)', 13.25, 12)"""
"""(""""U R' U BR' Rw' U Rw' BR' R BR' Rw'"""", ' {L,D} (CIF)', 13.5, 11)""";"""(""""U R' U BR' Rw' U Rw' BR' R BR' Rw'"""", ' {L,D} (CIF)', 13.5, 11)""";"""(""""U R' U BR' Rw' U Rw' BR' R BR' Rw'"""", ' {L,D} (CIF)', 13.5, 11)"""
"""(""""U D L BR' R' L' R BR R' D' R U'"""", ' {BL,U} (CIF)', 13.5, 12)""";"""(""""U D L BR' R' L' R BR R' D' R U'"""", ' {BL,U} (CIF)', 13.5, 12)""";"""(""""U D L BR' R' L' R BR R' D' R U'"""", ' {BL,U} (CIF)', 13.5, 12)"""
"""(""""BR R' BR D' Rw' BR Rw' D' R D' Rw'"""", ' {BL,D} (EIF)', 13.5, 11)""";"""(""""BR R' BR D' Rw' BR Rw' D' R D' Rw'"""", ' {BL,D} (EIF)', 13.5, 11)""";"""(""""BR R' BR D' Rw' BR Rw' D' R D' Rw'"""", ' {BL,D} (EIF)', 13.5, 11)"""
"""(""""R B' R' U' B L' Rw' L Rw B' L"""", ' {U,BR} (CIF)', 13.5, 11)""";"""(""""R B' R' U' B L' Rw' L Rw B' L"""", ' {U,BR} (CIF)', 13.5, 11)""";"""(""""R B' R' U' B L' Rw' L Rw B' L"""", ' {U,BR} (CIF)', 13.5, 11)"""
"""(""""R U' R' U' F U' R BR U' BR' U R'"""", ' {R,U} (EIF)', 13.5, 12)""";"""(""""R U' R' U' F U' R BR U' BR' U R'"""", ' {R,U} (EIF)', 13.5, 12)""";"""(""""R U' R' U' F U' R BR U' BR' U R'"""", ' {R,U} (EIF)', 13.5, 12)"""
"""(""""L' U L R BR' R' U' R U BR R' U'"""", ' {B,U} (EIF)', 14.0, 12)""";"""(""""L' U L R BR' R' U' R U BR R' U'"""", ' {B,U} (EIF)', 14.0, 12)""";"""(""""L' U L R BR' R' U' R U BR R' U'"""", ' {B,U} (EIF)', 14.0, 12)"""
"""(""""BR' U' B Rw BR' Rw' U B' BR U"""", ' {R,B} (CIF)', 14.0, 10)""";"""(""""BR' U' B Rw BR' Rw' U B' BR U"""", ' {R,B} (CIF)', 14.0, 10)""";"""(""""BR' U' B Rw BR' Rw' U B' BR U"""", ' {R,B} (CIF)', 14.0, 10)"""
"""(""""D R' D' F' R L' U' R U R' L"""", ' {F,U} (CIF)', 14.0, 11)""";"""(""""D R' D' F' R L' U' R U R' L"""", ' {F,U} (CIF)', 14.0, 11)""";"""(""""D R' D' F' R L' U' R U R' L"""", ' {F,U} (CIF)', 14.0, 11)"""
"""(""""BR' Rw' B BR Rw' U' Rw B' U Rw"""", ' {B,D} (CIF)', 14.0, 10)""";"""(""""BR' Rw' B BR Rw' U' Rw B' U Rw"""", ' {B,D} (CIF)', 14.0, 10)""";"""(""""BR' Rw' B BR Rw' U' Rw B' U Rw"""", ' {B,D} (CIF)', 14.0, 10)"""
