R L U L', 4
R L U R, 4
R L U R', 4
R L U BR, 4
R L U BR', 4
R L U F, 4
R L U F', 4
R L U B, 4
R L U B', 4
R L U' L, 4
R L U' L', 4
R L U' R, 4
R L U' R', 4
R L U' F', 4
R L U' B, 4
R L U' B', 4
R L R D, 4
R L R D', 4
R L R L, 4
R L R U, 4
R L R U', 4
R L R F, 4
R L R F', 4
R L R' D, 4
R L R' D', 4
R L R' L, 4
R L R' L', 4
R L R' U, 4
R L R' U', 4
R L R' BR, 4
R L R' BR', 4
R L R' F, 4
R L R' F', 4
R L R' B, 4
R L R' B', 4
R L BR D, 4
R L BR D', 4
R L BR R, 4
R L BR R', 4
R L BR F, 4
R L BR F', 4
R L BR' D, 4
R L BR' D', 4
R L BR' R, 4
R L BR' R', 4
R L BR' F, 4
R L BR' F', 4
R L BR' B, 4
R L BR' B', 4
R L F R, 4
R L F R', 4
R L F D, 4
R L F D', 4
R L F B, 4
R L F B', 4
R L F' R, 4
R L F' R', 4
R L F' D, 4
R L F' D', 4
R L F' L, 4
R L F' L', 4
R L F' B, 4
R L F' B', 4
R L B D, 4
R L B BL, 4
R L B BL', 4
R L B L, 4
R L B L', 4
R L B U, 4
R L B U', 4
R L B R, 4
R L B R', 4
R L B BR, 4
R L B BR', 4
R L B' D', 4
R L B' BL, 4
R L B' BL', 4
R L B' L', 4
R L B' R, 4
R L B' R', 4
R L B' BR', 4
R L' B U, 4
R L' B U', 4
R L' B L, 4
R L' B L', 4
R L' B D, 4
R L' B D', 4
R L' B BR, 4
R L' B BR', 4
R L' B BL', 4
R L' B R, 4
R L' B R', 4
R L' B' D, 4
R L' B' D', 4
R L' B' BR, 4
R L' B' BR', 4
R L' B' BL, 4
R L' B' BL', 4
R L' B' R, 4
R L' B' R', 4
R L' U B, 4
R L' U B', 4
R L' U D, 4
R L' U D', 4
R L' U BR, 4
R L' U BR', 4
R L' U BL, 4
R L' U BL', 4
R L' U' B, 4
R L' U' B', 4
R L' U' L, 4
R L' U' L', 4
R L' U' D, 4
R L' U' D', 4
R L' U' BL, 4
R L' U' BL', 4
R L' U' R, 4
R L' U' R', 4
