Setup,Movecount,Solution
R Dw' D R,4,
R Dw' D F,4,
R Dw' D F',4,
R Dw' D BRw,4,
R Dw' D BRw',4,
R Dw' D BR,4,
R Dw' D BR',4,
R Dw' D' F',4,
R Dw' D' BRw,4,
R Dw' D' BRw',4,
R Dw' D' BL,4,
R Dw' D' BL',4,
R Dw' D' B,4,
R Dw' D' B',4,
R D R BRw',4,
R D R BL,4,
R D R B,4,
R D R B',4,
R D R D,4,
R D R D',4,
R D R' BRw,4,
R D R' BRw',4,
R D R' BL,4,
R D R' B,4,
R D R' B',4,
R D R' Dw',4,
R D BRw' R,4,
R D BRw' R',4,
R D BRw' F,4,
R D BRw' F',4,
R D BRw' B,4,
R D BRw' B',4,
R D BRw' BR,4,
R D BRw' BR',4,
R D BRw' Dw,4,
R D BRw' Dw',4,
R D BRw' D',4,
R D BL BRw,4,
R D BL BRw',4,
R D BL B,4,
R D BL B',4,
R D BL BR,4,
R D BL BR',4,
R D BL' BRw,4,
R D BL' BRw',4,
R D BL' B,4,
R D BL' B',4,
R D BL' BR',4,
R D BL' D',4,
R D B R,4,
R D B R',4,
R D B BRw,4,
R D B BRw',4,
R D B BL,4,
R D B BL',4,
R D B BR,4,
R D B BR',4,
R D B Dw,4,
R D B Dw',4,
R D B D,4,
R D B' R,4,
R D B' R',4,
R D B' BRw,4,
R D B' BRw',4,
R D B' BL,4,
R D B' BL',4,
R D B' BR,4,
R D B' BR',4,
R D B' Dw,4,
R D B' D,4,
R D BR B,4,
R D BR B',4,
R D BR D,4,
R D BR D',4,
R D BR' R,4,
R D BR' R',4,
R D BR' B,4,
R D BR' B',4,
R D' R F,4,
R D' R F',4,
R D' R BRw',4,
R D' R B,4,
R D' R B',4,
R D' R Dw,4,
R D' R Dw',4,
R D' R D,4,
R D' R D',4,
R D' R' F,4,
R D' R' BRw,4,
R D' R' BRw',4,
R D' R' B,4,
R D' F BR',4,
R D' F' R',4,
R D' F' BRw,4,
R D' F' BRw',4,
R D' BRw BL,4,
R D' BRw BL',4,
R D' BRw B,4,
R D' BRw B',4,
R D' BRw BR,4,
R D' BRw BR',4,
